type,amount,oldbalanceOrg,newbalanceOrig,isFraud
0,76550.74,1096252.93,1172803.66,No Fraud
3,12617.11,339181.87,326564.76,No Fraud
4,22877.0,22877.0,0.0,Fraud
4,182739.36,182739.36,0.0,Fraud
1,4738282.28,4738282.28,0.0,Fraud
1,10000000.0,10000000.0,0.0,Fraud
4,418896.64,291444.0,0.0,No Fraud
1,76582.23,76582.23,0.0,Fraud
1,25091.68,1022.0,0.0,No Fraud
3,16800.24,140537.0,123736.76,No Fraud
4,2662734.59,2662734.59,0.0,Fraud
4,159225.76,375.0,0.0,No Fraud
3,22279.86,198916.0,176636.14,No Fraud
1,677503.25,677503.25,0.0,Fraud
1,2651994.1,2651994.1,0.0,Fraud
3,191.74,0.0,0.0,No Fraud
1,337287.72,337287.72,0.0,Fraud
0,357910.63,30499.0,388409.63,No Fraud
3,8398.98,328083.2,319684.22,No Fraud
3,7054.43,42728.69,35674.26,No Fraud
0,13014.75,2551.0,15565.75,No Fraud
3,13431.98,250283.89,236851.91,No Fraud
1,88748.63,88748.63,0.0,Fraud
3,521.37,0.0,0.0,No Fraud
3,10254.16,381506.09,371251.94,No Fraud
1,4895343.33,4895343.33,0.0,Fraud
1,3640983.71,3640983.71,0.0,Fraud
1,1014816.16,1014816.16,0.0,Fraud
1,3887853.15,3887853.15,0.0,Fraud
4,135845.3,135845.3,0.0,Fraud
4,253793.28,253793.28,0.0,Fraud
1,3572736.74,3572736.74,0.0,Fraud
4,2776135.33,2776135.33,0.0,Fraud
1,265820.49,0.0,0.0,No Fraud
1,3924102.18,3924102.18,0.0,Fraud
3,3909.84,132822.83,128912.99,No Fraud
3,4914.0,23008.62,18094.63,No Fraud
1,377475.36,38975.0,0.0,No Fraud
1,150929.12,150929.12,0.0,Fraud
3,683.11,125940.29,125257.18,No Fraud
3,9063.08,242587.29,233524.21,No Fraud
1,422700.27,30176.0,0.0,No Fraud
1,270544.9,2178.0,0.0,No Fraud
1,36404.25,0.0,0.0,No Fraud
4,633459.44,633459.44,0.0,Fraud
3,43379.55,1226.0,0.0,No Fraud
0,360765.08,4663695.31,5024460.39,No Fraud
4,1634229.02,1634229.02,0.0,Fraud
4,54892.98,54892.98,0.0,Fraud
1,37891.64,52001.0,14109.36,No Fraud
4,2231580.5,2231580.5,0.0,Fraud
4,107773.49,107773.49,0.0,Fraud
4,167743.93,167743.93,0.0,Fraud
4,854550.85,854550.85,0.0,Fraud
1,456190.27,3164.0,0.0,No Fraud
3,3095.63,0.0,0.0,No Fraud
1,87219.11,87219.11,0.0,Fraud
0,327850.86,119272.0,447122.86,No Fraud
1,594471.04,594471.04,0.0,Fraud
0,82841.07,8221000.36,8303841.42,No Fraud
1,239026.93,26799.0,0.0,No Fraud
1,12171.31,0.0,0.0,No Fraud
4,353094.9,353094.9,0.0,Fraud
4,1397689.48,1397689.48,0.0,Fraud
1,62560.36,0.0,0.0,No Fraud
4,886588.02,886588.02,0.0,Fraud
4,3547010.54,3547010.54,0.0,Fraud
1,971133.63,971133.63,0.0,Fraud
3,23154.28,492077.0,468922.72,No Fraud
1,20364.0,20364.0,0.0,Fraud
4,336917.97,336917.97,0.0,Fraud
1,473557.42,433678.0,0.0,No Fraud
4,136331.05,136331.05,0.0,Fraud
1,84021.79,11386.0,0.0,No Fraud
0,30742.57,3892684.63,3923427.2,No Fraud
3,7528.56,40416.0,32887.44,No Fraud
1,141514.6,61433.0,0.0,No Fraud
1,2720647.79,2720647.79,0.0,Fraud
1,1576531.53,1576531.53,0.0,Fraud
3,23392.76,8320.0,0.0,No Fraud
1,9065.34,9065.34,0.0,Fraud
1,251404.71,20311.0,0.0,No Fraud
4,176007.37,176007.37,0.0,Fraud
1,153927.53,6999.49,0.0,No Fraud
3,4023.98,0.0,0.0,No Fraud
1,332390.07,0.0,0.0,No Fraud
0,413155.98,55276.0,468431.98,No Fraud
4,373322.87,373322.87,0.0,Fraud
1,125153.57,125153.57,0.0,Fraud
4,2202575.1,2202575.1,0.0,Fraud
4,4257337.62,4257337.62,0.0,Fraud
4,38580.45,38580.45,0.0,Fraud
4,1016302.6,1016302.6,0.0,Fraud
1,141730.2,141730.2,0.0,Fraud
1,290817.58,0.0,0.0,No Fraud
4,787462.93,19472.0,0.0,No Fraud
1,221077.97,221077.97,0.0,Fraud
1,507521.42,507521.42,0.0,Fraud
4,362988.52,362988.52,0.0,Fraud
4,1346264.61,1346264.61,0.0,Fraud
1,1565621.39,1565621.39,0.0,Fraud
4,4961014.03,4961014.03,0.0,Fraud
1,617882.66,617882.66,0.0,Fraud
1,18887.0,18887.0,0.0,Fraud
1,191427.4,191427.4,0.0,Fraud
1,100178.52,21024.0,0.0,No Fraud
1,51838.11,0.0,0.0,No Fraud
1,59893.61,9642.16,0.0,No Fraud
4,242179.39,242179.39,0.0,Fraud
4,1832319.42,1832319.42,0.0,Fraud
4,84771.55,84771.55,0.0,Fraud
1,120087.41,4865.0,0.0,No Fraud
1,93581.19,93581.19,0.0,Fraud
1,235058.28,0.0,0.0,No Fraud
1,1736804.93,1736804.93,0.0,Fraud
1,17741.72,757.0,0.0,No Fraud
